county_fips,epg_natural_gas,clean_energy_jobs,grid_infrastructure_jobs,any_tech_1000_100_coverage,any_tech_100_20_coverage,cable_fiber_100_20_coverage,fiber_100_20_coverage,fiber_availability,high_speed_wired_coverage,land_value_1_4_acre_standardized,commercial_price,industrial_price,num_datacenters
17121,5.0,21.813116647083767,199.0546011298574,0.0288,0.9999,0.6332,0.032,0.0288,0.0288,110400.0,0.1104644744234144,0.065881007605346,0.0
17123,5.0,58.19091497518879,20.0,0.5288,1.0,0.7262,0.5288,0.5288,0.5288,26100.0,0.0985436676066729,0.0456065363572272,0.0
17125,5.0,15.0,27.896741297847377,0.4081,1.0,0.4081,0.4081,0.4081,0.4081,,0.1188058070482218,0.0821819419263605,0.0
17127,31.636615322615025,15.0,46.91206571519011,0.1858,1.0,0.4489,0.4489,0.1858,0.1858,-5600.0,0.1114723287704164,0.0590409273787623,0.0
17129,5.0,15.0,61.28735692350154,0.0092,1.0,0.3006,0.0092,0.0092,0.0092,27000.0,0.1188058070482218,0.0821819419263605,0.0
17131,5.0,15.0,20.0,0.0,0.9967,0.5828,0.1211,0.0,0.0,11400.0,0.0831267311187468,0.0396148107175568,0.0
17133,5.0,20.759946432446434,75.58331329583434,0.0621,1.0,0.5967,0.0633,0.0613,0.0621,53100.0,0.1021193831766275,0.0428967680982015,0.0
17135,23.29363732447423,187.7008488137634,144.3384115867011,0.1092,1.0,0.6965,0.1092,0.1092,0.1092,40700.0,0.1087542171111819,0.0617186365270365,0.0
17137,5.0,88.74315979119363,68.21876305288788,0.7402,1.0,0.9676,0.741,0.7402,0.7402,34600.0,0.1116418272033446,0.0656840864009394,6.623655913978495
17139,5.0,15.0,20.0,0.2033,1.0,0.2911,0.1645,0.1593,0.2033,26100.0,0.1200302735545453,0.0761939131031635,0.0
17141,5.0,15.0,80.51318474549757,0.4303,1.0,0.8121,0.436,0.4303,0.4303,56200.0,0.0784928740364267,0.0452602861205976,0.0
17143,59.85047678112697,425.52039821946505,612.485879034555,0.5255,1.0,0.9341,0.5077,0.5065,0.5207,39500.0,0.1019133498428645,0.0432804759147511,1.0
17145,5.0,15.0,20.0,0.5628,1.0,0.5628,0.5628,0.5628,0.5628,37000.0,0.1096451785342099,0.0382930827926341,0.0
17147,5.0,15.0,35.67358064670506,0.0,1.0,0.5166,0.4673,0.0,0.0,28900.0,0.1226800500628572,0.077731312675822,0.0
17149,5.0,27.64044729503228,76.82843427172939,0.0724,1.0,0.4406,0.0707,0.0707,0.0724,7900.0,0.1019133498428645,0.0432804759147511,0.0
17151,5.0,80.0188392793079,20.0,0.5257,1.0,0.6485,0.5257,0.5257,0.5257,,0.1132040776487363,0.0618961637331339,0.0
17153,5.0,513.7431006237518,29.40848875431238,0.1189,1.0,0.7602,0.1233,0.1189,0.1189,,0.1019133498428645,0.0432804759147511,0.0
17155,5.0,15.0,20.0,0.6829,1.0,0.8894,0.6989,0.6822,0.6829,,0.1062103802642959,0.0505998902745356,0.0
17157,5.0,19.89676673673784,107.35068376683115,0.0393,1.0,0.465,0.0367,0.0367,0.0393,41100.0,0.1098582937807005,0.0297967142769668,0.0
17159,5.0,15.0,107.56970195814364,0.0265,1.0,0.7831,0.0265,0.026,0.0265,4300.0,0.1156882811249302,0.0728782238563938,0.0
17161,60.9051540254608,124.62381664049651,449.8776717265099,0.0772,1.0,0.646,0.0772,0.0772,0.0772,47300.0,0.0524382142731714,0.0339065069332677,0.0
17163,43.24516645108298,147.00059856324256,220.7324050082553,0.3837,1.0,0.6937,0.3839,0.3837,0.3837,81700.0,0.1034897732424119,0.0446387145034128,0.0
17165,5.0,102.84148630222586,119.67548612071494,0.0686,1.0,0.1115,0.0511,0.0073,0.0686,23400.0,0.1132040776487363,0.0618961637331339,0.0
17167,80.858326626166,294.41209860120335,398.34342555834945,0.5272,1.0,0.8059,0.5272,0.5272,0.5272,58500.0,0.1191100296630576,0.0423722929550485,0.376344086021505
17169,5.0,15.0,20.0,0.1012,1.0,0.6579,0.1012,0.1012,0.1012,,0.1100844548039452,0.0620976295151146,0.0
